,fas_id,name,address,postcode,easting,northing,latitude,longitude,local_authority
38754,378370,Bredon Football Club,"Bredon A F C Rear Of, Village Hall, Kemerton Road, Westmancote",GL20 7QN,392902,236868.0,52.030175,-2.10487,Wychavon
47710,479690,Glenburn Social Club,35D Glenburn Road Prestwick South Ayrshire ,KA9 2NS,236393,625912.0,55.499524,-4.591689,South Ayrshire
48558,488964,Pontygwindy Alehouse,"222 Pontygwindy Road, Caerphilly",CF83 3HR,315470,188102.0,51.585409,-3.221448,Caerphilly
20522,208437,Upsteps Hotel,"20 Upper Aughton Road, Birkdale, Merseyside",PR8 5ND,333464,415956.0,53.635884,-3.007749,Sefton
41903,401951,The Huddersfield Irish Centre,"Irish Club, 86 Fitzwilliam Street, Huddersfield",HD1 5BB,414309,417100.0,53.6502,-1.785,Kirklees
27284,277507,Brendoncare - Romsey Tuesday Lunch Club,"Age Concern, 24 Linden Road, Romsey, Hampshire",SO51 8DB,435535,121201.0,50.989118,-1.495086,Test Valley
43435,414497,The Board Inn,"Lealholm, Whitby, North Yorkshire",YO21 2AJ,476218,507512.0,54.457275,-0.825827,Scarborough
11460,116685,Hounslow Conservative Club,"Gresham Road, Hounslow",TW3 4BX,514277,176805.0,51.47867,-0.355815,Hounslow
35392,352941,The Great Northern,"Wetmore Road, Burton upon Trent",DE14 1QS,425430,324683.0,52.81908,-1.624114,East Staffordshire
50039,502675,The Angel Inn,"Pontneathvaughan Road, Glynneath, Neath Port Talbot",SA11 5NR,289911,207534.0,51.75564,-3.596345,Neath Port Talbot
40496,391247,Tickhill Institute,"Northgate, Tickhill, Doncaster",DN11 9HZ,459616,404923.0,53.537582,-1.10195,Doncaster
25464,259282,The Cock Inn,"35 High Street, Hanslope, Milton Keynes",MK19 7LQ,480309,246948.0,52.115032,-0.828596,Milton Keynes
47172,473927,The Blinny,"144 Main Street, Shotts, Lanarkshire",ML7 5HA,288267,659307.0,55.814055,-3.784576,North Lanarkshire
3655,36096,Porters Pub,"367 Westborough Road, Westcliff-On-Sea, Essex",SS0 9TS,586128,186604.0,51.547627,0.683017,Southend-on-Sea
13049,143110,The Latchmere PH,"Latchmere Public House, 503 Battersea Park Road, London",SW11 3BW,527496,176371.0,51.471939,-0.165719,Wandsworth
43996,421479,Westgate Common Working Mens Club,"Park Grove Road, Wakefield",WF2 8TW,432156,420250.0,53.677741,-1.514681,Wakefield
42675,407720,Cleethorpes Bowling Club Ltd,"Elm Gardens, Cleethorpes",DN35 8HN,530408,408701.0,53.558726,-0.032721,North East Lincolnshire
22686,230597,The Winning Post,"Winkfield Street, Winkfield, Windsor",SL4 4SW,490046,172742.0,51.446519,-0.705663,Bracknell Forest
50445,506305,Black Lion Inn Ltd,"Derwenlas, Machynlleth, Powys",SY20 8TN,272244,299125.0,52.57489,-3.88667,Powys
11384,115783,The Harefield,"The Harefield, 41 High Street, Harefield",UB9 6BY,505147,190332.0,51.602023,-0.483198,Hillingdon
